ACCE_ABSORB_COST	Kombinasyon maliyeti: %d
MINI_GAME_BNW_RESULT_LOSE2	Maðlubiyet!
MINI_GAME_BNW_RESULT_WIN1	Sayýn daha büyük.
MINI_GAME_BNW_RESULT_WIN2	Galibiyet!
MINI_GAME_BNW_START_QUESTION	Oynamak için 30.000 Yang ve bir Tarot kartý setine ihtiyacýn var. Yarýþmaya katýlmak istiyor musun?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Birden fazla %s kullanýrsan, ayný sayýda sandýk kazanýrsýn.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	En fazla %d kral destesi kullanabilirsin.
MINI_GAME_CATCHKING_HELP_MSG1	Tüh! Kartýnýn deðeri daha düþük.\nPuan almýyorsun. Destenden yeni bir kart seç.
MINI_GAME_CATCHKING_HELP_MSG2	Aferin! Kartlarýn deðeri eþit.\n Oyun hamlen sona erdi. Destenden yeni bir kart seç.
MINI_GAME_CATCHKING_HELP_MSG3	Devam et! Kartýnýn deðeri daha yüksek.\nBir kart daha aç.
MINI_GAME_CATCHKING_HELP_MSG4	Açtýðýn kartýn menzilinde bir [5] vardý.\nMaalesef puan alamýyorsun. Þimdi kralýný seç [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Kral kaçtý! Oyun bitti. \nEn az 10 puan aldýysan, þimdi ödülünü etkinleþtirebilirsin.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Bir ödül etkinleþtiremezsin.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Yakýnda bir [5] var.
MINI_GAME_CATCHKING_START_QUESTION	Bu tur için senden çekilenler: %d Yang ve %s: %d adet\nÞimdi oynamak istiyor musun?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Þu kartý yakalayabilir: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Þu kartlarý yakalayabilir: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Þu kartlarý yakalayabilir: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Þu kartlarý yakalayabilir: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Þu kartlarý yakalayabilir: [1], [2], [3], [4], [5]\nBir diðer [5] açýlan kartýnla bitiþik ise,\n oyun hamlesi sonlandýrýlýr ve sen puan almazsýn.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Þu kartý yakalayabilir: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 veya üzeri
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 - 549 arasý
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 - 399 arasý
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Tüm kartlarý açarsan 10 ekstra puan alýrsýn.
MINI_GAME_GIVEUP_QUESTION	Oyunu gerçekten durdurmak istediðinden emin misin? Bunu yaparak ödülden vazgeçiyorsun.
MINI_GAME_NOTICE_1	Baþlangýç oyuncusunu belirlemek için "At" butonuna týkla.
MINI_GAME_NOTICE_2	Yut çubuklarý at.
MINI_GAME_NOTICE_3	Bilgisayar baþlangýç oyuncusunu belirlemek için Yut çubuklarý atýyor.
MINI_GAME_NOTICE_4	Bilgisayar daha düþük ya da eþdeðer atýþ yaptý ve baþlama hakkýný kazandý.
MINI_GAME_NOTICE_5	Daha düþük atýþ yaptýn ve baþlama hakkýný kazandýn.
MINI_GAME_NOTICE_6	Senin atýþýn: %s. %d kare ilerle.
MINI_GAME_NOTICE_7	Senin atýþýn: %s. 1 kare geri gitmen gerekiyor.
MINI_GAME_NOTICE_8	Atýþ: %s
MINI_GAME_NOTICE_9	Sýra bilgisayarda.
MINI_GAME_NOTICE_10	Ha! Bilgisayarý attýn.
MINI_GAME_NOTICE_11	Ne þanssýzlýk! Bilgisayar seni attý.
MINI_GAME_NOTICE_12	Elinde Yut ya da Mo vardý ve bir kez daha atabilirsin.
MINI_GAME_NOTICE_13	Oyun bitti. Ödülü teslim al.
MINI_GAME_RUMI_DISCARD_QUESTION	Bu kartý atmak istediðinden emin misin?
MINI_GAME_RUMI_EXIT_QUESTION	Oyun turunu bitirip kazancýný almak mý istersin?\nBu durumda puanlarýn ve kalan kartlarýn sýfýrlanýr!
MINI_GAME_RUMI_START_QUESTION	Oyuna katýlmak için %d Yang ödeme yapman gerekiyor. Ayrýca %d kart setine sahip olmalýsýn.\nOyunu baþlat?
MINI_GAME_YUTNORI_COM_WIN	Bazen sen kazanýrsýn, bazen baþkalarý.
MINI_GAME_YUTNORI_PC_WIN	Ýþte galipler böyle olur, lalalalala!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Puan durumu: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	At
MINI_GAME_YUTNORI_RETHROW_POPUP	Þanslýsýn! Sýra yine sende.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Yutnori'yi baþlatmak için %d Yang ve %d Yutnori oyun tahtasýna ihtiyacýn var. \n Þimdi oynayacak mýsýn?
MINUTE	dk.
MISTS_ISLAND_BUFF_MSG_01	Enerji +2
MISTS_ISLAND_BUFF_MSG_02	Eþya drop oraný +%10
MISTS_ISLAND_BUFF_MSG_03	Güç, zekâ, canlýlýk, çeviklik +3
MISTS_ISLAND_BUFF_MSG_04	Yang drop oraný +%10
MISTS_ISLAND_BUFF_MSG_05	Kostüm bonuslarý %3 artýrldý
MISTS_ISLAND_INFO_01	Seviyen çok düþük.
MISTS_ISLAND_INFO_02	Yetersiz Yang.
MISTS_ISLAND_INFO_03	Þu anda savaþ yok.
MISTS_ISLAND_MSG_01	%s, %s tarafýndan yok edildi.
MISTS_ISLAND_MSG_02	%s, %s noktasýný fethetti !
MISTS_ISLAND_MSG_03	%s, %s noktasýný iþgal etti!
MISTS_ISLAND_MSG_04	%s, %s noktasýna saldýrýyor!
MISTS_ISLAND_MSG_05	%s, %s ögesini %d. seviyeye baþarýyla yükseltti!
MISTS_ISLAND_MSG_06	%s svaþ alanýnda belirdi!
MISTS_ISLAND_QUESTION_01	Beþ Tapýnaðýn Savaþý'ndan çýkmak istiyor musun?
MISTS_ISLAND_QUESTION_02	Yakýn zamanda saldýrýya uðrayan tapýnaða ýþýnlanmak ister misin? \n Ücret: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Ýþgal edilecek krallýk: %s
MISTS_ISLAND_TOOLTIP_03	Geliþtirme seviyesi: +%d
MISTS_ISLAND_TOOLTIP_04	Ýþgal Buffý: %s
MISTS_ISLAND_TOOLTIP_05	Tapýnaklarýn Fethi
MISTS_ISLAND_TOOLTIP_06	1. Bir tapýnak ele geçirilmeden önce yok edilmelidir.
MISTS_ISLAND_TOOLTIP_07	2. 1 dakika sonra yakýndaki en fazla savaþçýya sahip olan krallýk tapýnaðý fetheder.
MISTS_ISLAND_TOOLTIP_08	3. Tapýnak 3 dakika sonra onu fetheden krallýðýn renginde görünür.
MISTS_ISLAND_TOOLTIP_09	4. Bir tapýnak ne kadar uzun bir süre ayný krallýðýn kontrolü altýndaysa, onu yok etmek o kadar zor olur.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	On Bin
MONETARY_UNIT2	Yüz Milyon
MONEY_INPUT_DIALOG_SELLPRICE	Satýþ Fiyatý:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Bunu bir binek üzerinde yapamazsýn.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Þampiyon seviyesine ulaþtýðýnda at seviyesini yükseltebilirsin.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	%d at yemine ve %d Yang'a ihtiyacýn var.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Atýný %d seviyesine yükseltmeyi denemek ister misin?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Atýnýn seviyesini yükseltmek için %d at yemi, %d Gaya ve %d Yang'a ihtiyacýn var.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Yeterli Gaya'ya sahip deðilsin.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	At seviyesi yükseltilemedi
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	At seviyesi %d olarak yükseltildi.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Yeterli Yang'ýn veya at yemin yok.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Bir sonraki seviye: %d (Maksimum %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Ýptal
MOVE_CHANNEL_NOTICE	Kanal %d ile baðlýsýn.
MOVE_CHANNEL_NOT_MOVE	Kanalýný deðiþtiremezsin.
MOVE_CHANNEL_SELECT	Tamam
MOVE_CHANNEL_TITLE	Kanal seçimi
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Özel depo açtýðýn sürece nesneleri baþka yere taþýyamazsýn.
MUSIC_EMPTY_MUSIC_LIST	Fon müziði yok.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standart Müziði
MUSIC_NOT_SELECT_MUSIC	Hiç Müzik dosyasý seçilmedi.
NEEFD_REST	Önce dinlenmelisin.
NOT_YET_SUPPORT	Desteklenmiyor
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	Bu harita mevcut deðil.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	Haritanýn tamamýný göremezsin.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	Önce þunu tamamla:%s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	Yalnýzca ayný haritadaysanýz bir karaktere (oyuncuya deðil) doðrudan ýþýnlanabilirsin.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	Seçilen kart mevcut seviyen için mevcut deðil.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	%d dakika içinde tekrar ýþýnlanabilirsin.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	1 dakikadan kýsa sürede tekrar ýþýnlanabilirsin.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	Ölüyken ýþýnlanamazsýn.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	Baþka bir krallýktaki bir karaktere ýþýnlanamazsýn.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	Yetersiz %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	Bu karaktere ýþýnlanamazsýn.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	Bir aþamaya ýþýnlanamazsýn.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	Yetersiz %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	Seçilen kart mevcut seviyen için mevcut deðil.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	Sürüþ sýrasýnda ýþýnlanamazsýn.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	Iþýnlanabilmek 1. þampiyon seviyesinde olmalýsýn.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	Bulunduðun yerden ýþýnlanamazsýn.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	Yeterli ýþýnlanma taþýn yok.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	Diðer menülerin açýkken ýþýnlanamazsýn.
NPC_LOCATION_HELPER_MAP_LOCKED	Mevcut deðil
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	Bu haritayý zaten açtýn.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	Karakter bulucuyu etkinleþtirmelisin.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	Karakter bulucu burada kullanýlamaz.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	Bu bölgede harita deðiþtirilemez.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	Karakter bulucuyu etkinleþtirmelisin.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	Karakter bulucuyu etkinleþtirmelisin.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	Þu anda ýþýnlanamazsýn.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	Lütfen tekrar dene.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	Burada harita yok.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	%s tamamlandý. Artýk tüm %s özelliklerinin yararlanabilirsin.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	Bu canavarýn bölgesi sana zaten gösteriliyor.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	Yalnýzca baþka bir haritada görünen bir canavarýn tam bölgesini görüntüleyemezsin.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	Seçilen canavarýn bölgesi bilinmiyor.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	Bu canavarýn nerede ortaya çýktýðýný bulmak için gereken eþyaya sahip deðilsin.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	Nerede mevcut olduðunu öðrenmek istediðin bir canavarý seç.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	%s içeren bölge haritada gösterilir.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	Yeterli ýþýnlanma taþýn yok.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	Seçtiðin karakter yakýnda.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Bölgeyi seç.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	Bunu artýk kullanamazsýn.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Ejderha taþý simyasý
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Kombinasyon
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Üretim
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Zindan giriþi
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Ekipman satýcýsý
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Etkinlik
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Balýkçýlýk malzemeleri
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Tüketim malzemeleri
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Lonca bölgesi
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Öðretmen
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Posta
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Madencilik
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Binek hayvanlar
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Diðer karakterler
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portallar
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Geliþtirme
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Iþýnlanma
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Depocu
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Karakter bulucuyu etkinleþtirmek istiyor musun?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	veya
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	%d ýþýnlanma taþý/ ýþýnlanma taþý+ kullanarak %s noktasýna ýþýnlanmak ister misin?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Iþýnlanmak için gerekli:
OKEY_EVENT_MESSAGE_CARD_GAIN	Okey kart setleri alýrsýn.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Okey kartlarý alýrsýn.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Baþka bir pencere açýk olduðu sürece okey oynayamazsýn.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Katýlmak için en az 70. seviyeye ulaþmýþ olmalýsýn.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Oynamak için yeterince nesne veya paran yok.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Baþka okey kart setleri alamazsýn.
OPEN_THE_SPECIAL_ACTION_KIT	%s duygulara eklendi.
OPTION_ESCAPE_BUTTON_COOLTIME	Lütfen daha sonra tekrar dene.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Þu anda kendini serbest býrakamazsýn. Lütfen daha sonra tekrar dene.
OPTION_ESCAPE_FAR_DISTANCE	10 metreden fazla hareket ettiðin için kendini serbest býrakamazsýn.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Kendini serbest býrakmadýn.
OPTION_ESCAPE_QUESTION_MESSAGE	Ya serbest bir yere ya da köye ýþýnlanacaksýn.\n Karakterini serbest býrakmak ister misin?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Sýkýþýrsan bu seçeneði kullan.
OPTION_ESCAPE_WAIT_MESSAGE	%d saniye sonra serbest kalacaksýn.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Herhangi bir Loncada deðilken Lonca Modunu aktif edemezsiniz.
OPTION_PVPMODE_NOT_SUPPORT	PvP Modunda bu biçimi seçemezsiniz.
OPTION_PVPMODE_PROTECT	PvP-Modu'nu deðiþtirmek için ulaþmýþ olman gereken asgari seviye: %d.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Savaþtan ayrýlmak istiyor musun?
OTHER_WORLD_EXCHANGE_COOLTIME	Lütfen daha sonra tekrar dene.
OTHER_WORLD_EXCHANGE_FAIL	Maalesef takastan bir þey almadýn.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Maksimum eþya sayýsýndan fazlasýný kullanamazsýn.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Ölü Alevi Takasý
OTHER_WORLD_GET_DEAD_SOUL	%d X ölü ruhu aldýn.
OTHER_WORLD_GET_HELL_GATE_KEY	%d X Asmodeus anahtarý aldýn.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	%d x siyah mektup aldýn.
OTHER_WORLD_GET_REINCARNATION_WATER	%d x hayat suyu aldýn.
OTHER_WORLD_GET_WISP	%d x ölü alevi aldýn.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Karþýlaþmak istediðin bir toprak elçisi seç.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Ne zaman bir karakter ölse, zindan zamanlayýcýsý 1 dakika düþer.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Hayat suyu kullanýlamýyor.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Verilen sürede tüm canavarlarý öldür.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Gecenin elçisini ölmeden yen.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Süre dolmadan Asmodeus'u yen.
PARTY_ANSWER_TIMEOVER	Davet reddedildi.
PARTY_BONUS_ATTACKER	Saldýrý Deðeri: +%d	SA
PARTY_BONUS_BERSERKER	Saldýrý Hýzý: +%d	SA
PARTY_BONUS_BUFFER	Beceri Süresi: +%d	SA
PARTY_BONUS_DEFENDER	Savunma +%d%%	SA
PARTY_BONUS_EXP	EXP: %%%d	SA
PARTY_BONUS_SKILL_MASTER	Öldürme baþýna HP yükleme +%%%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Grubu sil
PARTY_DO_YOU_ACCEPT	 grubunuza katýlmak istiyor.
PARTY_DO_YOU_JOIN	 seni bir gruba davet etti. Kabul et?
PARTY_EXP_DISTRIBUTION_MODE	EXP paylaþýmý
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	seviyeye baðlý
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Yüksek seviyeli grup üyeleri daha fazla EXP kazanýyor.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	eþit
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tüm grup üyeleri ayný EXP i alýr.
PARTY_HEAL_ALL_MEMBER	Her þeyi yükle.
PARTY_INCREASE_AREA_150	Grup kuruluþ faktör aralýðý 1,5.	SNA
PARTY_INCREASE_AREA_200	Grup kuruluþ faktör aralýðý 2.	SNA
PARTY_LEAVE	Grubu terket
PARTY_LONGTIME_BONUS_EXP	Uzun bir grup oyunu için kazanýlan EXP: +%%%d	SA
PARTY_MATCH_CANCEL	[%s] Ýçin grup aramasý iptal edildi.
PARTY_MATCH_FAIL_FULL_MEMBER	Grubun baþka üye kabul edemez.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Bu zindana kaydolamazsýn.
PARTY_MATCH_FAIL_LEVEL	Seviyen çok düþük.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Üye %s gerekli þartlarý yerine getirmiyor.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Lütfen önce bir zindan seç.
PARTY_MATCH_FAIL_NOT_LEADER	Yalnýzca grup lideri kayýt yaptýrabilir.
PARTY_MATCH_FAIL_NO_ITEM	Yeterli %s yok.
PARTY_MATCH_SEARCHING	Ara
PARTY_MATCH_START	Grubunu þu zindana kaydettin: [%s]!
PARTY_MEMBER_OFFLINE	[Çevrimdýþý]
PARTY_RECALL_MEMBER	Grup üyesini çaðýr.
PARTY_REGEN_BONUS	Yeniden oluþum HP- + SP primi: +%%%d	SA
PARTY_REQUEST_DENIED	Baþvurun reddedildi.
PARTY_RK_CATEGORY_CZ_CHICKEN	Bekçi Yu Sýralama Listesi
PARTY_RK_CATEGORY_CZ_COW	Bekçi Chou Sýralama Listesi
PARTY_RK_CATEGORY_CZ_DOG	Bekçi Xu Sýralama Listesi
PARTY_RK_CATEGORY_CZ_DRAGON	Bekçi Chen Sýralama Listesi
PARTY_RK_CATEGORY_CZ_HORSE	Bekçi Wu Sýralama Listesi
PARTY_RK_CATEGORY_CZ_MONKEY	Bekçi Shen Sýralama Listesi
PARTY_RK_CATEGORY_CZ_MOUSE	Bekçi Zi Sýralama Listesi
PARTY_RK_CATEGORY_CZ_PIG	Bekçi Hai Sýralama Listesi
PARTY_RK_CATEGORY_CZ_RABBIT	Bekçi Mao Sýralama Listesi
PARTY_RK_CATEGORY_CZ_SHEEP	Bekçi Wei Sýralama Listesi
PARTY_RK_CATEGORY_CZ_SNAKE	Bekçi Si Sýralama Listesi
PARTY_RK_CATEGORY_CZ_TIGER	Bekçi Yin Sýralama Listesi
PARTY_SET_ATTACKER	Saldýrý gücü olarak belirle
PARTY_SET_BERSERKER	Berserker olarak belirle.
PARTY_SET_BUFFER	Tampon olarak belirle.
PARTY_SET_DEFENDER	Savunma gücü olarak belirle.
PARTY_SET_NORMAL	Geri Çekilme Ayarlarý.
PARTY_SET_SKILL_MASTER	Beceri Master i olarak ayarla.
PARTY_SET_TANKER	Yakýn Dövüþ Savasçýsý olarak belirle.
PARTY_SKILL_ATTACKER	Saldýrý gücü olarak temel saldýrý deðeri +%.0f
PARTY_SKILL_BERSERKER	Berserker saldýrý hýzý +%.0f
PARTY_SKILL_BUFFER	Tampon Beceri Süresi +%.0f
PARTY_SKILL_DEFENDER	Savunmacý olarak savunma +%%%.0f
PARTY_SKILL_HP_REGEN	HP üretimi +%.0f%%
PARTY_SKILL_PARTY_AREA	Grup sýrasý +%%%d
PARTY_SKILL_SKILL_MASTER	Beceri ustasý olarak HP geri kazanýmý +%%%.0f
PARTY_SKILL_SP_REGEN	SP üretimi +%.0f%%
PARTY_SKILL_TANKER	Max. HP Yakýn Dövüþ Saldýrý Gücü +%.0f
PARTY_SKILL_WARP	Grup üyelerini çaðýrmak mümkün.
PASSIVE_ATTR_ADD_FAIL	Baþarýsýz! Bonuslar ruh kalýntýsýna aktarýlmadý.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Ruh kalýntýsý baþka bonus alamaz.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Bunun için sýnýfýn için bir ruh kalýntýsýna ihtiyacýn var.
PASSIVE_ATTR_ADD_SUCCESS	Baþarýlý! Bonuslar ruh kalýntýsýna aktarýldý.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	Ruh kalýntýsý zaten dolu.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Ruh kalýntýsýnýn doldurulmasý gerekmiyor.
PASSIVE_ATTR_CHARGE_QUESTION	Ruh kalýntýsýný doldurmak istiyor musun?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Kalýntý süresi tamamen doldu.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Etkinleþtirme esnasýnda bunu yapamazsýn.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Lütfen daha sonra tekrar dene.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Bunun için uygun bir ruha ihtiyacýn var.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Bunun için sýnýfýn için bir ruh kalýntýsýna ihtiyacýn var.
PASSIVE_JOB_DESTROY_POPUP	Ruh kalýntýsýný verirsen, imha edilir. Emin misin?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Etkinleþtirmeden sonra kalýntýyý iletemezsin.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Nesneler bu esnada kaybolur. Emin misin?
PASSIVE_JOB_LEFT_TIME	Kalan süre: %s
PASSIVE_JOB_MAX_TIME	Maksimum kalýntý süresi: %s
PASSWORD_TITLE	Depo Þifresi
PET_ATTR_CHANGE_DIALOG_TEXT	Petinin özniteliklerini þimdi deðiþtir?\n "Pet efsunla" eþyasý bu durumda tüketilir.\n Ýþlem baþarýsýz olabilir
